Mode,"Business, Residents","Business, Non-Residents","Non-business, Residents","Non-business, Non-Residents",Total
Dropped off,5.30%,2.60%,11.10%,10.60%,29.50%
Drive self,14.50%,0.00%,19.00%,0.00%,33.50%
Rental car,0.00%,6.90%,0.00%,12.70%,19.60%
Taxi,0.60%,5.80%,1.40%,1.20%,9.00%
Transit,0.40%,4.50%,2.20%,1.10%,8.30%
Total,20.90%,19.80%,33.70%,25.60%,100.00%
Mode,"Business, Residents","Business, Non-Residents","Non-business, Residents","Non-business, Non-Residents",Total
Dropped off,5.30%,2.20%,11.26%,9.88%,28.64%
Drive self,14.63%,0.00%,19.22%,0.00%,33.86%
Rental car,0.00%,7.47%,0.00%,13.44%,20.90%
Taxi,0.51%,5.66%,1.19%,1.10%,8.45%
Transit,0.42%,4.47%,2.05%,1.20%,8.15%
Total,20.86%,19.79%,33.73%,25.62%,100.00%
Mode,"Business, Residents","Business, Non-Residents","Non-business, Residents","Non-business, Non-Residents",Total
Dropped off,0.00%,-0.40%,0.16%,-0.72%,-0.86%
Drive self,0.13%,0.00%,0.22%,0.00%,0.36%
Rental car,0.00%,0.57%,0.00%,0.74%,1.30%
Taxi,-0.09%,-0.14%,-0.21%,-0.10%,-0.55%
Transit,0.02%,-0.03%,-0.15%,0.10%,-0.15%
Total,-0.04%,-0.01%,0.03%,0.02%,0.00%
