Person Type,0,1,2,3 plus,0,1,2,3 plus,0,1,2,3 plus,0,1,2,3 plus,0,1,2,3 plus,0,1,2,3 plus
Full-time worker,2050,195,73,15,1895,391,43,4,1929,378,25,1,2090,224,18,1,2161,168,4,0,1976,335,18,4
,327,42,10,3,244,116,21,1,276,96,10,0,271,100,11,0,327,54,1,0,283,88,11,0
,10595,350,59,7,10528,469,14,0,10775,231,5,0,10633,377,1,0,10869,140,2,0,10408,583,19,1
,803,22,6,2,668,160,5,0,749,78,6,0,493,337,3,0,786,47,0,0,557,260,16,0
Part-time worker,516,73,48,9,469,154,22,1,514,119,12,1,595,47,3,1,603,43,0,0,529,103,14,0
,113,19,10,4,86,52,8,0,102,38,6,0,102,42,2,0,132,14,0,0,92,50,4,0
,814,63,22,5,835,67,2,0,866,36,2,0,865,39,0,0,881,23,0,0,842,60,2,0
,80,12,3,1,67,27,2,0,73,21,2,0,74,21,1,0,88,7,1,0,64,29,3,0
University student,337,31,15,4,300,77,10,0,312,67,7,1,353,32,1,1,347,40,0,0,316,61,10,0
,66,8,3,2,46,24,9,0,63,16,0,0,52,25,2,0,70,9,0,0,46,27,5,1
,635,33,8,0,641,34,1,0,655,21,0,0,644,32,0,0,648,27,1,0,631,45,0,0
,47,4,2,0,42,11,0,0,46,6,1,0,37,14,2,0,49,4,0,0,32,20,1,0
Non-worker,2703,270,204,43,2499,646,70,5,2660,513,45,2,2972,227,21,0,3010,207,3,0,2748,415,56,1
,521,75,36,7,369,239,31,0,451,161,24,3,467,163,8,1,556,79,4,0,442,170,24,3
,126,7,3,2,129,9,0,0,128,10,0,0,135,2,1,0,136,2,0,0,128,9,1,0
,17,2,1,0,16,4,0,0,17,3,0,0,13,7,0,0,18,2,0,0,15,5,0,0
Retiree,2208,79,16,3,1850,415,38,3,1948,328,27,3,2144,150,10,2,2197,101,8,0,2015,270,20,1
,491,16,8,0,290,198,27,0,344,156,12,3,380,122,13,0,464,48,3,0,387,110,17,1
,65,2,0,0,62,4,1,0,62,5,0,0,64,3,0,0,67,0,0,0,61,6,0,0
,6,0,0,0,5,1,0,0,5,1,0,0,1,5,0,0,6,0,0,0,6,0,0,0
Driving school child,107,13,0,0,105,15,0,0,104,16,0,0,113,7,0,0,106,14,0,0,95,23,2,0
,27,4,0,0,16,15,0,0,19,10,2,0,25,6,0,0,26,5,0,0,20,11,0,0
,616,11,0,0,602,25,0,0,601,25,1,0,609,18,0,0,602,25,0,0,564,57,6,0
,46,0,1,0,38,9,0,0,40,7,0,0,34,13,0,0,45,2,0,0,24,23,0,0
Pre-driving school child,442,137,6,0,533,52,0,0,493,90,1,1,567,18,0,0,534,51,0,0,527,57,1,0
,204,33,0,0,166,71,0,0,164,71,2,0,192,41,4,0,204,33,0,0,154,77,5,1
,2388,51,4,0,2416,27,0,0,2399,44,0,0,2405,38,0,0,2406,36,1,0,2267,173,3,0
,389,2,0,0,346,45,0,0,338,53,0,0,311,80,0,0,362,29,0,0,179,199,13,0
Preschool child,1313,40,14,4,1212,159,0,0,1135,235,1,0,1296,75,0,0,1307,64,0,0,1248,123,0,0
,158,18,0,0,119,55,2,0,125,47,3,1,149,26,1,0,146,28,2,0,128,45,3,0
,698,13,1,0,668,44,0,0,564,148,0,0,685,27,0,0,698,14,0,0,660,52,0,0
,44,2,0,0,37,8,1,0,39,7,0,0,35,11,0,0,41,5,0,0,28,18,0,0
